product_key,product,provider,version_or_period,analysis_role,official_access,citation_doi,licence_or_terms,raw_files_redistributed,release_content
OASIS_BOUNDARY,2020 global oasis boundary lineage,Project authors; catalogue described by Gui et al.,2020 source; 3437 analytical polygons from 3443 historical universe,Fixed study population; geometry is not redistributed,https://doi.org/10.3974/geodp.2025.03.01,10.3974/geodp.2025.03.01,Original boundary terms; geometry excluded,False,Author-created polygon summaries and metadata only
KOPPEN_GEIGER,High-resolution Köppen-Geiger maps,Beck et al.,1 km; 1991-2020 background period used,BWh/BWk background classification,https://doi.org/10.1038/s41597-023-02549-6,10.1038/s41597-023-02549-6,Original provider terms,False,Author-created polygon summaries and metadata only
GHSL,GHS-POP and GHS-BUILT-S R2023A,European Commission Joint Research Centre,2020,"Population density, built share and population weights",https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE; https://doi.org/10.2905/9F06F36F-4B11-47EC-ABB0-4F8B7B1D72EA,10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE; 10.2905/9F06F36F-4B11-47EC-ABB0-4F8B7B1D72EA,Original provider terms,False,Author-created polygon summaries and metadata only
ARIDITY_ET0,Global Aridity Index and ET0 v3.1,"Zomer, Xu and Trabucco",Long-term current baseline,Scaled AI estimand; ET0 retained as raw/unit-caution only,https://doi.org/10.1038/s41597-022-01493-1,10.1038/s41597-022-01493-1,Original provider terms,False,Author-created polygon summaries and metadata only
TERRACLIMATE,TerraClimate,University of California Merced / Climatology Lab,1991-2020,Background climatic water deficit,https://doi.org/10.1038/sdata.2017.191,10.1038/sdata.2017.191,Original provider terms,False,Author-created polygon summaries and metadata only
JRC_GSW,JRC Global Surface Water v1.4,European Commission Joint Research Centre,1984-2021,Historical/current ever-water fraction,https://doi.org/10.1038/nature20584,10.1038/nature20584,Original provider terms,False,Author-created polygon summaries and metadata only
ERA5_HEAT,ERA5-HEAT UTCI,Copernicus Climate Change Service / ECMWF,1991-2020,Background heat- and cold-stress days,https://doi.org/10.1002/gdj3.102,10.1002/gdj3.102,Original provider terms,False,Author-created polygon summaries and metadata only
FUTUREPOP,FuturePop v0.2 SSP2 and SSP5,"WorldPop, University of Southampton",2050 and 2080,Coverage-aware descriptive population scenarios,https://doi.org/10.5258/SOTON/WP00849,10.5258/SOTON/WP00849,Original provider terms,False,Author-created polygon summaries and metadata only
NEX_GDDP_CMIP6,NEX-GDDP-CMIP6,NASA,SSP2-4.5/SSP5-8.5; 2041-2070/2071-2099,"Future background tasmax, tasmin and precipitation exposure",https://doi.org/10.1038/s41597-022-01393-4,10.1038/s41597-022-01393-4,Original provider terms,False,Author-created polygon summaries and metadata only
ECON_GDP,Kummu gridded GDP v4,"Kummu, Kosonen and Masoumzadeh Sayyar; Zenodo",v4; locked 2020 layers,Current total and per-capita GDP exposure; 2017 PPP international dollars,https://doi.org/10.5281/zenodo.18429133,10.1038/s41597-025-04487-x; dataset DOI 10.5281/zenodo.18429133,Provider terms; raw raster not redistributed,False,Author-created polygon summaries and metadata only
NIGHTLIGHTS_VIIRS,EOG VIIRS Annual VNL v2.1,EOG/NOAA; Elvidge et al.,v2.1; locked 2020 annual composite,Mean radiance and lit-area fraction; exposure proxy,https://doi.org/10.3390/rs13050922,10.3390/rs13050922,Provider terms; raw raster not redistributed,False,Author-created polygon summaries and metadata only
