domain,product,reference_period,analysis_role,validity_boundary
Climate class,Koppen-Geiger 1 km,1991-2020,BWh and BWk background classification,"Background climate, not oasis-interior temperature"
Social,GHS-POP and GHS-BUILT-S,2020,Current population density and built-up share,"Exposure proxy, not causal development or economic performance"
Aridity,Global Aridity Index v3.1,Long-term current baseline,Current background aridity,"Raw index values scaled by 0.0001; Figure 5 class values are oasis-area-weighted"
Water climate,TerraClimate,1991-2020,Climatic water deficit,"Figure 5 class values are oasis-area-weighted; not irrigation demand or groundwater balance"
Surface water,JRC Global Surface Water,1984-2021,Historical and current water occurrence and stability,Does not quantify future water resources
Thermal,ERA5-HEAT UTCI,1991-2020,Annual heat- and cold-stress days,"Figure 6 primary threshold summaries use lower-order oasis-unit medians and IQRs at heat >=32 degC and cold <=-13 degC; background outdoor exposure, not oasis-interior microclimate"
Future population,FuturePop v0.2 SSP2 and SSP5,2050 and 2080,Coverage-aware descriptive scenario exposure,"3,181 valid for every scenario-year combination; 256 require nearest-valid-grid substitution in at least one combination; not a seamless continuation of GHSL observations"
Future climate,NEX-GDDP-CMIP6 SSP2-4.5 and SSP5-8.5,2041-2070 and 2071-2099,"30-model fixed-boundary tasmax, tasmin and precipitation change","Not future UTCI, oasis extent or water resources"
Economy,Kummu gridded GDP v4,2020,Current total and per-capita GDP exposure,Observed economic baseline; field-specific units
Night lights,VIIRS annual composite,2020,Mean radiance and lit-area fraction,Exposure proxy; not direct economic output
