baseline_id,module,product,reference_period,analysis_role,valid_rule,valid_n,strict_bwh_bwk_n,metadata_status,important_boundary,evidence_source
analysis_release_3437,Climate class,Koppen-Geiger 1 km,1991-2020,background classification,all classified oases,3437,2564,verified,"background climate, not oasis-interior temperature",baseline_definition.json
analysis_release_3437,GHSL,GHS-POP and GHS-BUILT-S,2020,population density and built-up share,ghsl_qc pass,3437,2564,verified,exposure proxy; no causal interpretation,baseline_definition.json
analysis_release_3437,AI,Global AI/ET0 v3.1,1970-2000 annual average,current background aridity,true polygon-cell overlap; AI raw x 0.0001,3437,2564,verified,index; exact overlap area weighting,baseline_definition.json
analysis_release_3437,ET0,Global AI/ET0 v3.1,1970-2000 annual average,reference evapotranspiration,true polygon-cell overlap,3437,2564,verified,total mm yr-1; descriptive,baseline_definition.json
analysis_release_3437,ET0SD,Global AI/ET0 v3.1,1970-2000 annual average,cell-level annual-average ET0 variability,true polygon-cell overlap,3437,2564,verified,weighted cell SD mean; not aggregate propagated uncertainty,baseline_definition.json
analysis_release_3437,TerraClimate,TerraClimate,1991-2020,background water climate,pass_30yr,3437,2564,verified,not irrigation demand or groundwater balance,baseline_definition.json
analysis_release_3437,JRC surface water,JRC Global Surface Water,1984-2021,historical/current surface-water stability,jrc_qc pass,3437,2564,verified,not future water resources,baseline_definition.json
analysis_release_3437,UTCI,ERA5-HEAT UTCI,1991-2020,annual heat/cold-stress days,3428 complete records use Y_i=30; nine records use actual Y_i=27-29,3437,2564,verified,one Methods sentence only; no interpolation or separate sensitivity group,baseline_definition.json
analysis_release_3437,FuturePop,FuturePop v0.2 SSP2/SSP5,2050 and 2080,unified future population scenario exposure,3181 polygon fractional aggregation + 256 deterministic nearest valid grid,3437,2564,verified,global aggregate only; imputed values are not precise individual-oasis estimates,baseline_definition.json
analysis_release_3437,NEX all,NEX-GDDP-CMIP6 SSP2-4.5/SSP5-8.5,2041-2070 and 2071-2099,fixed-boundary future background climate,2865 polygon reducer + 572 accepted fallback,3437,2564,verified,D17 unchanged; not future UTCI/water resources,baseline_definition.json
analysis_release_3437,GDP,Kummu gridded GDP v4,2020,current economic baseline,gdp_qc pass or pass_filled_current_gdp,3437,2564,need_check_unit_scope,total GDP uses 2017 international dollars; per-capita unit metadata must stay field-specific,baseline_definition.json
analysis_release_3437,VIIRS,VIIRS annual composite,2020,night-time lights exposure,viirs_qc pass,3437,2564,need_check_exact_product_version,do not infer economic output directly,baseline_definition.json
